,state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
496,pennsylvania,PA,,,4848.0,,,3163.0,3133.0,,109820.0,11251.0,,135.0,,19490.0,2021-04-20,"The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
497,rhode island,RI,,,450.0,446.0,1.0,893.0,891.0,,,1214.0,1204.0,2.0,,,2021-04-23,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. 11 staff and 44 prisoners received the on-shot Johnson & Johnson vaccine
498,south carolina,SC,,,1111.0,1085.0,2.0,,,11205.0,,3252.0,,41.0,1345.0,723.0,2021-04-20,
499,south dakota,SD,,422.0,191.0,191.0,0.0,,,,8267.0,2341.0,2334.0,7.0,2164.0,,2021-04-20,
500,tennessee,TN,,,1518.0,1479.0,5.0,,,,42576.0,6649.0,6598.0,42.0,,,2021-04-20,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
501,texas,TX,,210239.0,11545.0,11078.0,46.0,12065.0,,,490376.0,34559.0,32954.0,273.0,,,2021-04-20,"Vaccine numbers as of 4/21. TDCJ is unable to provide a breakdown of how many We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative. people are fully or partially vaccinated with the Moderna vaccine, but are reporting 3648 have received the one-shot Johnson & Johnson vaccine."
502,utah,UT,,,399.0,396.0,,,,,27729.0,,3382.0,16.0,312.0,258.0,2021-04-21,
503,vermont,VT,,,105.0,102.0,0.0,,467.0,2954.0,21136.0,459.0,,0.0,737.0,,2021-04-20,
504,virginia,VA,,20501.0,2542.0,2505.0,5.0,6532.0,5047.0,,109969.0,9098.0,8866.0,56.0,17079.0,15173.0,2021-04-22,
505,washington,WA,,,1186.0,,2.0,3618.0,,,,6211.0,6178.0,13.0,4739.0,,2021-04-20,"Washington originally reported an incorrect number for prisoner cases and later revised it. We've updated our data here accordingly. In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total."
506,west virginia,WV,,13393.0,483.0,478.0,1.0,834.0,780.0,,10326.0,1628.0,1578.0,12.0,334.0,1011.0,2021-04-23,1011 fully vaccinated prisoners received the one-shot Johnson & Johnson vaccine.
507,wisconsin,WI,,,2525.0,2518.0,,,,,100313.0,10949.0,10729.0,26.0,3888.0,,2021-04-20,
508,wyoming,WY,,,298.0,293.0,0.0,,,,30531.0,885.0,877.0,3.0,,,2021-04-20,
509,federal,US,,,6850.0,6250.0,4.0,,17735.0,110239.0,,,,251.0,,41076.0,2021-04-20,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
510,alabama,AL,,,1044.0,1019.0,3.0,824.0,,,15692.0,1635.0,1547.0,65.0,1740.0,,2021-04-14,
511,alaska,AK,,,,,0.0,,,,30387.0,2399.0,,5.0,2677.0,1839.0,2021-04-12,Vaccination numbers as of 4/11
512,arizona,AZ,,,2745.0,2732.0,,,,46140.0,,12263.0,12147.0,53.0,,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
513,arkansas,AR,,,,,4.0,3333.0,,,,11273.0,11173.0,52.0,374.0,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
514,california,CA,,,16284.0,16084.0,26.0,27539.0,25282.0,122071.0,,49208.0,48369.0,220.0,65728.0,45865.0,2021-04-13,"In the succeeding weeks, California revised its number of covid cases among prisoners and we have revised this accordingly."
515,colorado,CO,,,1650.0,,0.0,2972.0,,19368.0,200051.0,8827.0,,29.0,9164.0,,2021-04-13,
516,connecticut,CT,,63062.0,1647.0,1613.0,0.0,2697.0,,,98599.0,4399.0,4328.0,19.0,4362.0,,2021-04-13,
517,delaware,DE,,,,,1.0,,1015.0,,13272.0,,,13.0,1981.0,238.0,2021-04-16,
518,florida,FL,,,5829.0,5590.0,8.0,,,,,18048.0,17778.0,215.0,,,2021-04-14,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
519,georgia,GA,,,1710.0,1675.0,4.0,,,,,3797.0,3607.0,93.0,,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
520,hawaii,HI,,,226.0,225.0,0.0,,,,16416.0,1968.0,1956.0,9.0,,,2021-04-13,"We had originally been given vaccination numbers for prisons and jails combined. In order to be comparable to the COVID case numbers, we only track prison cases and vaccinations. We've withdrawn this week's data because it is not comparable. More recent weeks are only for those in prisons."
521,idaho,ID,5982.0,,472.0,470.0,0.0,224.0,143.0,11395.0,,4127.0,4062.0,6.0,1361.0,1250.0,2021-04-13,
522,illinois,IL,,181863.0,4397.0,4296.0,1.0,,4272.0,,497675.0,10864.0,10840.0,88.0,,18895.0,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
523,indiana,IN,,5606.0,1515.0,1485.0,4.0,,,,20698.0,3522.0,3418.0,51.0,,,2021-04-14,
524,iowa,IA,,,701.0,698.0,2.0,1238.0,1218.0,,44678.0,4849.0,4820.0,19.0,932.0,233.0,2021-04-15,13 staff and 23 prisoners have received the 1-shot Johnson & Johnson vaccine.
525,kansas,KS,,,1212.0,,6.0,,,,,6101.0,,16.0,5929.0,,2021-04-15,"vaccine numbers as of 4/14. Kansas later revised its staff vaccine totals, so we removed the earlier reported numbers for this week."
526,kentucky,KY,,,1094.0,,5.0,,,,,7901.0,,48.0,,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
527,louisiana,LA,2455.0,,928.0,915.0,6.0,,,8782.0,,3204.0,3105.0,36.0,,,2021-04-13,
528,maine,ME,,,,,0.0,,,,9566.0,170.0,,1.0,,284.0,2021-04-16,All prisoners have been vaccinated with the one-shot Johnson & Johnson vaccine.
529,maryland,MD,,65866.0,2249.0,2164.0,4.0,4011.0,3968.0,,67545.0,4394.0,4344.0,30.0,5168.0,790.0,2021-04-16,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
530,massachusetts,MA,,,935.0,,,3116.0,2819.0,,34361.0,3021.0,,21.0,4624.0,4377.0,2021-04-14,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
531,michigan,MI,,191194.0,4116.0,,5.0,,,41311.0,727543.0,26202.0,24852.0,,,17935.0,2021-04-14,The vaccine numbers were later revised and we've removed the earlier erroneous figures.
532,minnesota,MN,,,1080.0,884.0,0.0,743.0,1786.0,,107645.0,4142.0,3861.0,12.0,440.0,4033.0,2021-04-13,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new. testing method, they don't have new presumed positives that will be added to this column."
533,mississippi,MS,,,,,,,,,,1398.0,1374.0,23.0,,82.0,2021-04-15,Mississippi later revised the number of prisoners who were partially vaccinated.
534,missouri,MO,,12964.0,2581.0,2569.0,6.0,,,,80665.0,5649.0,5563.0,48.0,5900.0,3653.0,2021-04-14,251 people were fully vaccinated with the 1-shot Johnson & Johnson vaccine.
535,montana,MT,,,285.0,,0.0,,,,,1135.0,,6.0,,506.0,2021-04-14,
536,nebraska,NE,,,,,,,,3676.0,6782.0,982.0,,6.0,,,2021-04-16,
537,nevada,NV,,,981.0,,3.0,1230.0,822.0,,,4537.0,,57.0,1520.0,214.0,2021-04-13,
538,new hampshire,NH,,,176.0,176.0,0.0,,,,1757.0,458.0,454.0,3.0,490.0,385.0,2021-04-13,
539,new jersey,NJ,,189454.0,2788.0,,,,,,,,,53.0,,,2021-04-11,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
540,new mexico,NM,,,953.0,948.0,0.0,1640.0,1580.0,,47556.0,2976.0,2944.0,28.0,1514.0,824.0,2021-04-13,
541,new york,NY,,,5080.0,4936.0,8.0,7538.0,7498.0,,80566.0,6462.0,6299.0,35.0,3618.0,3450.0,2021-04-14,23 staff and 894 incarcerated people have got the one-shot Johnson & Johnson vaccine and are fully vaccinated.
542,north carolina,NC,,114045.0,3854.0,3698.0,12.0,6524.0,4810.0,40747.0,126903.0,10021.0,8148.0,53.0,15872.0,5787.0,2021-04-13,we initially had the partially vaccinated number for prisoners instead of the fully vaccinated. We have updated this now.
543,north dakota,ND,1187.0,22825.0,287.0,281.0,1.0,,,3489.0,33673.0,633.0,632.0,1.0,935.0,942.0,2021-04-13,
544,ohio,OH,,,4839.0,4771.0,10.0,7057.0,,,70352.0,9713.0,7077.0,135.0,22528.0,,2021-04-15,
545,oklahoma,OK,,15471.0,1044.0,,,,,,31243.0,7402.0,,55.0,,,2021-04-13,"In the succeeding weeks, Oklahoma revised its number of covid deaths among prisoners and we have revised this accordingly."
546,oregon,OR,,,846.0,837.0,,,,,24852.0,3580.0,3420.0,42.0,,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
547,pennsylvania,PA,,,4804.0,4680.0,,,2984.0,,107386.0,11215.0,10837.0,135.0,,19430.0,2021-04-14,"This week, Pennsylvania resumed reporting data after it took down its dashboard for several months for revisions. The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
548,rhode island,RI,,,448.0,440.0,1.0,,,,,1208.0,1196.0,2.0,1626.0,1345.0,2021-04-16,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. The vaccine numbers for this week were later revised by RIDOC.
549,south carolina,SC,,,1100.0,1080.0,2.0,,,,,3246.0,3190.0,40.0,729.0,723.0,2021-04-13,
550,south dakota,SD,,422.0,191.0,191.0,0.0,,,,8155.0,2341.0,2334.0,7.0,2164.0,,2021-04-13,
551,tennessee,TN,,,1512.0,1476.0,5.0,,,,41768.0,6647.0,6596.0,42.0,,,2021-04-13,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
552,texas,TX,,205586.0,11514.0,11022.0,45.0,11893.0,9729.0,,482039.0,34504.0,32936.0,273.0,,,2021-04-13,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
553,utah,UT,,,399.0,396.0,,,,,27460.0,3453.0,3378.0,16.0,261.0,162.0,2021-04-13,
554,vermont,VT,,,103.0,98.0,0.0,,467.0,2930.0,20579.0,459.0,,0.0,720.0,,2021-04-13,Staff have received the one-shot Johnson & Johnson vaccine.
555,virginia,VA,,20038.0,2524.0,2480.0,5.0,6416.0,4924.0,,105953.0,9039.0,8860.0,56.0,16860.0,14458.0,2021-04-13,
556,washington,WA,,,1171.0,,2.0,3551.0,,,,6203.0,6177.0,13.0,3815.0,,2021-04-13,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly."
557,west virginia,WV,,13201.0,480.0,475.0,1.0,834.0,780.0,,10271.0,1628.0,1575.0,12.0,,1011.0,2021-04-17,All prisoner received the one-shot Johnson & Johnson vaccine.
558,wisconsin,WI,,,2522.0,2511.0,,,,,98657.0,10932.0,10726.0,26.0,3293.0,,2021-04-13,
559,wyoming,WY,,,296.0,293.0,0.0,,,,29694.0,884.0,874.0,3.0,,,2021-04-13,
560,federal,US,,,6831.0,5614.0,4.0,,17529.0,109772.0,,,,248.0,,35867.0,2021-04-13,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
561,alabama,AL,,,1040.0,982.0,3.0,808.0,,,15599.0,1632.0,1503.0,65.0,871.0,,2021-04-07,
562,alaska,AK,,,,,,,,,29981.0,2396.0,,5.0,2518.0,1598.0,2021-04-05,
563,arizona,AZ,,,2742.0,2731.0,,,,43652.0,,12215.0,12137.0,53.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
564,arkansas,AR,,,,,4.0,1440.0,,,,11245.0,11147.0,52.0,82.0,0.0,2021-04-06,Vaccine numbers as of 4/6 The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
565,california,CA,,,,,26.0,27030.0,24811.0,121456.0,,49203.0,48362.0,218.0,62730.0,43760.0,2021-04-06,"In the succeeding weeks, California revised its number of covid cases among prisoners and we have revised this accordingly."
566,colorado,CO,,,1633.0,,,2906.0,,19235.0,196517.0,8800.0,,29.0,7556.0,,2021-04-06,
567,connecticut,CT,,61768.0,1634.0,1591.0,0.0,2697.0,,,92322.0,4380.0,4262.0,19.0,4362.0,,2021-04-06,
568,delaware,DE,,5960.0,,,1.0,1268.0,911.0,,13004.0,2030.0,1955.0,13.0,1819.0,151.0,2021-04-07,
569,florida,FL,,,5782.0,5543.0,,,,,,17994.0,17769.0,214.0,,,2021-04-07,Prisoner vaccintions have begun but the FLDOC apparently doesn't have the disaggregated figures. Working on them to find out how we can get them.
570,georgia,GA,,,1703.0,1656.0,4.0,,,,,3739.0,3602.0,93.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
571,hawaii,HI,,,225.0,225.0,0.0,,,,16148.0,1968.0,1954.0,9.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
572,idaho,ID,5973.0,,472.0,467.0,0.0,224.0,143.0,11309.0,,4122.0,4060.0,6.0,529.0,204.0,2021-04-06,"Of the 472 staff positives, 10 are prior positives / In addition to the 224 staff vaccinated at the department, an additional 343 self-disclosed they received both doses from outside providers."
573,illinois,IL,,166664.0,4342.0,4261.0,1.0,,,,476115.0,10853.0,10810.0,88.0,,,2021-04-06,
574,indiana,IN,,5547.0,1500.0,1474.0,4.0,,,,19897.0,3480.0,3415.0,51.0,,,2021-04-06,
575,iowa,IA,,,701.0,698.0,2.0,,,,44100.0,4839.0,4812.0,19.0,206.0,206.0,2021-04-07,Vaccination numbers come from 4/5. Iowa later revised their staff vaccine numbers down.
576,kansas,KS,,,1212.0,,6.0,,,,,6098.0,,16.0,5822.0,,2021-04-08,"Vaccination numbers as of 4/7. Kansas later revised its staff vaccine totals, so we removed the earlier reported numbers for this week."
577,kentucky,KY,,,1091.0,,5.0,,,,,7899.0,,48.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
578,louisiana,LA,2453.0,,926.0,911.0,6.0,,,8706.0,,3202.0,3101.0,36.0,,,2021-04-06,
579,maine,ME,,,59.0,58.0,0.0,,,,,168.0,166.0,1.0,,284.0,2021-04-08,All prisoners have been vaccinated with the on-shot Johnson & Johnson vaccine.
580,maryland,MD,,62244.0,2222.0,2151.0,4.0,4011.0,3968.0,,66828.0,4381.0,4319.0,26.0,3827.0,787.0,2021-04-09,
581,massachusetts,MA,,,930.0,,,2953.0,2804.0,,33817.0,3021.0,,21.0,4620.0,4279.0,2021-04-07,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
582,michigan,MI,,191194.0,4039.0,,5.0,,,41234.0,701601.0,26156.0,24526.0,140.0,,15576.0,2021-04-08,The vaccine numbers were later revised and we've removed the earlier erroneous figures.
583,minnesota,MN,,,1066.0,867.0,0.0,740.0,1670.0,,106508.0,4064.0,3859.0,12.0,,3739.0,2021-04-06,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new. testing method, they don't have new presumed positives that will be added to this column. Among the staff vaccines, 1078 received the one-shot Johnson and Johnson vaccine,  and 3484 prisoners got the single shot Johnson and Johnson shot. These totals are included in the ""fully vaccinated"" field."
584,mississippi,MS,,,,,,,,,,,,23.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
585,missouri,MO,,12961.0,2576.0,2568.0,6.0,,,,79729.0,5628.0,5545.0,48.0,5609.0,3303.0,2021-04-06,
586,montana,MT,,,282.0,,0.0,,,,,1135.0,,6.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
587,nebraska,NE,,,557.0,549.0,,,,3676.0,6776.0,982.0,976.0,6.0,,,2021-04-09,Staff case totals from 4/8
588,nevada,NV,,,978.0,,3.0,1228.0,820.0,,,4523.0,,57.0,1520.0,156.0,2021-04-06,
589,new hampshire,NH,,,176.0,,0.0,491.0,254.0,,1716.0,458.0,450.0,3.0,385.0,339.0,2021-04-06,
590,new jersey,NJ,,184146.0,2752.0,,,,,,253527.0,4778.0,,53.0,,,2021-04-04,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
591,new mexico,NM,,,951.0,946.0,0.0,1632.0,1569.0,,44368.0,2972.0,2939.0,28.0,1117.0,569.0,2021-04-06,
592,new york,NY,,,5021.0,4861.0,8.0,7538.0,7323.0,,78318.0,6397.0,6205.0,35.0,3374.0,2165.0,2021-04-06,415 incarcerated individuals have received the Johnson and Johnson one-shot vaccine. We have revised the vaccine numbers for prisoners initially reported for this week.
593,north carolina,NC,,105131.0,3812.0,3686.0,12.0,6374.0,4623.0,40502.0,124361.0,10006.0,8170.0,53.0,15042.0,2884.0,2021-04-06,
594,north dakota,ND,1157.0,22381.0,284.0,281.0,1.0,,,3413.0,33359.0,633.0,632.0,1.0,935.0,942.0,2021-04-06,"Of those fully vaccinated, 34 received the on-shot Johnson & Johnson vaccine"
595,ohio,OH,,,4810.0,4746.0,10.0,6911.0,,,68970.0,9701.0,7101.0,135.0,21400.0,,2021-04-08,vaccine numbers as of 4/7
596,oklahoma,OK,,15016.0,1044.0,,,,,,31059.0,7396.0,,55.0,,,2021-04-06,
597,oregon,OR,,,842.0,835.0,0.0,,,,24852.0,3580.0,3417.0,42.0,9156.0,7200.0,2021-04-06,
598,pennsylvania,PA,,,,,,,,,,11181.0,,134.0,,,2021-04-06,"We have been told vaccinations have begun in this system, but they have not released numbers for this week. Pennsylvania took down its dashboard for several months to revise its data. In April of 2021, Pennsylvania revised its historic daily counts of COVID cases and deaths of prisoners. We've adjusted our number here to reflect the change. The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
599,rhode island,RI,,,412.0,410.0,1.0,,,,,1200.0,1192.0,2.0,,,2021-04-09,"Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
600,south carolina,SC,,,1094.0,1067.0,2.0,,,,,3240.0,3181.0,40.0,729.0,723.0,2021-04-06,
601,south dakota,SD,,421.0,191.0,190.0,0.0,,,,7983.0,,,7.0,2164.0,,2021-04-06,South Dakota later revised their number of prisoner cases but did not provide new figures for this week.
602,tennessee,TN,,,1501.0,1471.0,5.0,,,,40954.0,6639.0,6595.0,42.0,,,2021-04-06,"We have been told prisoner vaccinations have begun in this system, but they have not released numbers for this week."
603,texas,TX,,200267.0,11458.0,10922.0,45.0,,,,469741.0,34464.0,32910.0,273.0,,,2021-04-06,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
604,utah,UT,,,399.0,396.0,,,,,27228.0,3450.0,3372.0,16.0,261.0,162.0,2021-04-05,Vaccine numbers as of 4/6
605,vermont,VT,,,100.0,96.0,0.0,,467.0,2904.0,20211.0,457.0,,0.0,578.0,,2021-04-06,"Staff vaccination numbers do NOT include healthcare workers, who are contractors. Staff are given J&J 1-dose vaccine. The initial number we were given for staff vaccines included transposed digits and has been updated."
606,virginia,VA,,19384.0,2511.0,2460.0,5.0,6336.0,4807.0,,101955.0,9012.0,8859.0,56.0,16684.0,14111.0,2021-04-06,Virginia later revised its number of staff tests and we have updated our figure here accordingly.
607,washington,WA,,,1158.0,,2.0,,,,,6192.0,6172.0,13.0,,,2021-04-06,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
608,west virginia,WV,,12957.0,476.0,467.0,1.0,834.0,780.0,,10063.0,1593.0,1540.0,9.0,,1011.0,2021-04-09,Prisoners are receiving the single-shot J&J vaccine.
609,wisconsin,WI,,,2519.0,2502.0,,,,,97589.0,10929.0,10707.0,26.0,1382.0,,2021-04-06,Vaccine number as of 4/5
610,wyoming,WY,,,296.0,293.0,0.0,,,,28380.0,879.0,872.0,3.0,,,2021-04-06,
611,federal,US,,,6773.0,5519.0,4.0,,17286.0,109031.0,,,,246.0,,29658.0,2021-04-06,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
612,alabama,AL,,,1039.0,982.0,3.0,662.0,,,15550.0,1611.0,1499.0,64.0,871.0,,2021-03-31,
613,alaska,AK,,,,,,,,,29585.0,2394.0,,5.0,,,2021-04-02,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
614,arizona,AZ,,,2738.0,2724.0,,,,43647.0,,12206.0,12108.0,50.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
615,arkansas,AR,,,,,4.0,,,,,11229.0,11121.0,52.0,0.0,0.0,2021-03-30,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
616,california,CA,,,,,26.0,26878.0,24483.0,120994.0,,49199.0,48349.0,217.0,57999.0,41936.0,2021-03-30,"In the succeeding weeks, California revised its number of covid cases among prisoners and we have revised this accordingly."
617,colorado,CO,,,1611.0,,0.0,2769.0,,19063.0,192384.0,8767.0,,29.0,5495.0,,2021-03-30,"Not all offered vaccine since not all eligible until 4/2. Update on 4/1: 5,820 inmates (approximately 43 %) that have received at least the first dose of the vaccine."
618,connecticut,CT,,58551.0,1625.0,1572.0,0.0,2658.0,,,88491.0,4362.0,4216.0,19.0,4216.0,,2021-03-30,
619,delaware,DE,,,743.0,726.0,1.0,1265.0,911.0,,12665.0,,1948.0,13.0,649.0,116.0,2021-03-30,
620,florida,FL,,,5731.0,5504.0,7.0,0.0,0.0,,,17986.0,17755.0,213.0,0.0,0.0,2021-03-31,
621,georgia,GA,,,1698.0,1650.0,4.0,,,,,3711.0,3554.0,93.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
622,hawaii,HI,,,225.0,223.0,0.0,,,,16022.0,1968.0,1951.0,9.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
623,idaho,ID,5881.0,,469.0,464.0,0.0,224.0,143.0,11127.0,,4117.0,4059.0,6.0,449.0,204.0,2021-03-30,"In addition to the 224 vaccinated by the DOC, 338 staff have self-disclosed that they have received both doses from outside providers / Of the 469 staffers to ever test positive, 10 are prior positives. *NOTE this is 2 more than the past several months."
624,illinois,IL,,162042.0,4299.0,4217.0,1.0,4057.0,,,471928.0,10844.0,10796.0,88.0,18381.0,,2021-03-30,
625,indiana,IN,,5536.0,1497.0,1472.0,4.0,2730.0,,,19062.0,3472.0,3413.0,51.0,2172.0,813.0,2021-03-30,
626,iowa,IA,,,700.0,698.0,2.0,,,,,4829.0,4808.0,19.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
627,kansas,KS,,,1209.0,,6.0,,,,,6098.0,,16.0,5794.0,,2021-04-01,"Vax numbers as of 3/31. Kansas later revised its staff vaccine totals, so we removed the earlier reported numbers for this week."
628,kentucky,KY,,,1084.0,,5.0,,,,,7891.0,,48.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
629,louisiana,LA,2450.0,,925.0,907.0,6.0,,,8620.0,,3199.0,3099.0,36.0,,,2021-03-30,
630,maine,ME,,,59.0,56.0,0.0,708.0,708.0,,8125.0,168.0,165.0,1.0,,125.0,2021-03-30,All prisoners have been vaccinated with the on-shot Johnson & Johnson vaccine.
631,maryland,MD,,58224.0,2198.0,2134.0,4.0,4011.0,3968.0,,66282.0,4357.0,4289.0,26.0,1474.0,772.0,2021-04-02,
632,massachusetts,MA,,,918.0,,,2948.0,2795.0,,33109.0,3021.0,,21.0,4620.0,4279.0,2021-03-31,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
633,michigan,MI,,181280.0,3863.0,,4.0,,,41148.0,664433.0,26028.0,24273.0,139.0,,11814.0,2021-03-30,The vaccine numbers were later revised and we've removed the earlier erroneous figures.
634,minnesota,MN,,,1044.0,859.0,0.0,740.0,1293.0,,105087.0,3978.0,3856.0,12.0,410.0,1672.0,2021-03-30,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new. testing method, they don't have new presumed positives that will be added to this column. Among the staff vaccines, 772 received the one-shot Johnson and Johnson vaccine,  and 1418 prisoners got the single shot Johnson and Johnson shot. These totals are included in the ""fully vaccinated"" field."
635,mississippi,MS,,,,,,623.0,360.0,,3360.0,1397.0,1373.0,23.0,6030.0,14.0,2021-03-30,
636,missouri,MO,,12960.0,2575.0,2566.0,6.0,,,,79116.0,5614.0,5524.0,48.0,5115.0,,2021-04-02,
637,montana,MT,,,282.0,,0.0,0.0,0.0,,,1135.0,,6.0,724.0,318.0,2021-03-31,The department didn't provide a figure of those offered the vaccine but said: vaccinations are available to all inmates who want to receive the vaccine as doses become available.
638,nebraska,NE,,,,,,,,3676.0,6776.0,982.0,974.0,6.0,,,2021-03-29,
639,nevada,NV,,,977.0,,3.0,,,,,4518.0,,57.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
640,new hampshire,NH,,,175.0,,,,,,1697.0,457.0,449.0,3.0,358.0,304.0,2021-03-30,
641,new jersey,NJ,,178740.0,2721.0,,,,,,,,,53.0,,,2021-03-28,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
642,new mexico,NM,,,947.0,919.0,0.0,1517.0,1517.0,,44368.0,2972.0,2937.0,28.0,896.0,565.0,2021-03-30,
643,new york,NY,,,4963.0,4807.0,8.0,7538.0,7215.0,,76508.0,6315.0,6136.0,35.0,3374.0,1447.0,2021-03-30,
644,north carolina,NC,,100403.0,3798.0,3681.0,12.0,,,40355.0,122321.0,10001.0,8194.0,53.0,,,2021-03-30,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
645,north dakota,ND,1147.0,22127.0,282.0,281.0,1.0,,,3320.0,32911.0,633.0,631.0,1.0,935.0,908.0,2021-03-30,
646,ohio,OH,,,4783.0,4713.0,10.0,6545.0,,,67668.0,9675.0,7146.0,135.0,17873.0,,2021-04-01,"Vaccine numbers as of 4/1 From JoEllen Smith: Based on the guidelines established by the Ohio Department of Health, we are now in the process offering the vaccine to all incarcerated individuals who are age 16 and older as supply permits."
647,oklahoma,OK,,14583.0,1037.0,,,,,,30735.0,7385.0,,55.0,,,2021-03-30,
