state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
alabama,AL,,,1029,969,3,,,,15211,1557,1446,62,0,0,03/08/2021,
alaska,AK,,,,,,,,,25480,2330,,5,,,03/08/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
arizona,AZ,,,2709,2670,,,,43625,,12044,11896,,,,03/09/2021,"Arizona later revised their prisoner death numbers, classifying four suspected COVID-19 deaths as unrelated. They would not provide updated figures for past weeks, so we have left these blank. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
arkansas,AR,,,,,4,1049,972,,,11146,11032,52,0,0,03/09/2021,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
california,CA,,,15897,15351,26,25885,,119315,,49161,48229,212,42397,,03/09/2021,
colorado,CO,,,1578,,0,2590,,18706,178054,8691,,29,936,,03/09/2021,
connecticut,CT,,50639,1561,1506,0,2503,,,73559,4193,3995,19,2327,,03/09/2021,
delaware,DE,,,,,1,,,,,,,13,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
florida,FL,,,5604,5315,,0,0,,,17907,17658,210,0,0,03/10/2021,
georgia,GA,,,1672,1609,4,0,0,,,3626,3428,92,0,0,03/09/2021,
hawaii,HI,,,222,216,0,,,,15311,1957,1905,9,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
idaho,ID,5199,,460,453,0,224,143,10933,,4111,3974,6,208,0,03/09/2021,"460 staffers includes 8 prior positives / 210 staff have been fully vaccinated through the Department, 198 staff have self-disclosed that they have received both doses from outside providers."
illinois,IL,,120761,4184,4079,1,2726,,,360463,10771,10621,87,13122,,03/09/2021,
indiana,IN,,5516,1494,1462,4,,,,17972,3456,3384,51,,,03/12/2021,
iowa,IA,,,700,696,2,1208,1199,,41631,4818,4765,19,197,197,03/09/2021,
kansas,KS,,,1203,,5,,,,,6097,,15,3810,,03/08/2021,Vaccine numbers are from 3/10
kentucky,KY,,,1038,967,5,,,,,7361,6862,45,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
louisiana,LA,2442,,915,892,6,,,8335,,3179,3071,,,,03/09/2021,"Louisiana later revised its prisoner death numbers down from what they originally reported this week. They have not provided explanation for the change or a revised number for this week, so have now left this blank."
maine,ME,,,,,0,,,,7387,157,157,1,0,0,03/09/2021,
maryland,MD,,53147,2138,2073,4,4009,3313,,61722,4244,4184,24,,599,03/12/2021,This week's data was originally noted as being from 3/16 instead of 3/12.
massachusetts,MA,,,910,,,2931,2605,,30414,3013,,20,4582,4141,03/10/2021,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
michigan,MI,,159395,3670,,4,,,40886,572552,25428,23641,138,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
minnesota,MN,,,1024,839,0,729,421,,99991,3941,3852,11,352,234,03/10/2021,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
mississippi,MS,,,,,,533,158,,3339,1393,1359,23,90,0,03/09/2021,
missouri,MO,,12940,2571,2557,6,,,,76135,5551,5476,45,4102,0,03/09/2021,
montana,MT,,,277,,0,0,0,,,1129,,6,484,211,03/10/2021,108 prisoners recewived their second Moderna vaccination and 103 received the Johnson & Johnson vaccination.
nebraska,NE,,,,,,,,3674,6772,,,6,,,03/12/2021,Nebraska's number of prisoner cases dropped by 1 this week.
nevada,NV,,,971,,3,,,,,4510,,57,,,03/09/2021,
new hampshire,NH,,,174,173,0,491,254,,1545,450,446,3,331,26,03/09/2021,
new jersey,NJ,,162234,2610,,,,,,231541,4674,,53,,,03/07/2021,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
new mexico,NM,,,938,904,0,1517,,,37683,2869,2580,28,574,,03/09/2021,
new york,NY,,,4808,4651,8,7451,1681,,70454,6054,5759,34,1981,221,03/10/2021,
north carolina,NC,,81108,3740,3494,12,5519,3790,39566,113592,9833,8168,50,2981,1786,03/09/2021,
north dakota,ND,1141,20250,279,277,1,,,3177,28941,628,626,1,918,0,03/09/2021,
ohio,OH,,,4715,4639,10,4975,,,63291,9560,7230,134,2623,,03/11/2021,
oklahoma,OK,,12981,1022,,,,,,29520,7239,,49,0,0,03/09/2021,
oregon,OR,,,832,817,,,,,24824,3552,3378,42,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
pennsylvania,PA,,,,,,,,,,10991,,127,,,03/09/2021,"Pennsylvania took down its dashboard for several months to revise its data. In April of 2021, Pennsylvania revised its historic daily counts of COVID cases and deaths of prisoners. We've adjusted our number here to reflect the change. The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,405,399,1,,884,,,1167,1153,2,1394,1020,03/12/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. The vaccine numbers for this week were later revised by RIDOC.
south carolina,SC,,,1062,1022,2,,,,,3176,3018,39,,0,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
south dakota,SD,,412,187,186,0,,,,7515,2340,2332,7,,,03/09/2021,South Dakota's prisoner case numbers dropped by 1 this week. We're inquiring as to why.
tennessee,TN,,9218,1480,1461,4,,,,39158,6613,6544,42,,,03/09/2021,
texas,TX,,177111,11249,10605,43,8219,5830,,428706,34227,32316,271,628,0,03/09/2021,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
utah,UT,,,396,343,,,,,25255,3432,3211,15,,,03/08/2021,
vermont,VT,,,82,67,0,,467,2794,17050,411,,0,109,,03/09/2021,"467 Vermont staff had the one-shot Johnson & Johnson vaccine, so we're putting them under ""2nd dose"""
virginia,VA,,18989,2452,2415,5,6083,4004,,94786,8993,8835,56,15322,11868,03/09/2021,
washington,WA,,,1133,,2,,,,,6184,6145,13,,,03/09/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
west virginia,WV,,11075,458,454,1,790,711,,9681,1553,1535,8,0,0,03/09/2021,
wisconsin,WI,,,2492,2483,,2688,,,93698,10875,10649,25,,,03/09/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for prisoners for this week. Staff numbers are as of 3/12"
wyoming,WY,,,290,285,0,,,,26033,795,785,3,,,03/09/2021,
federal,US,,,6547,4984,4,,15319,106499,,,48382,243,,12955,03/09/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. The Bureau of Prisons reported 25 fewer cases among prisoners this week than last. A spokesman said it may be because they remove prisoners who have been released from their counts of both active cases and recovered cases.
alabama,AL,,,1025,969,3,0,0,,15152,1530,1441,61,0,0,03/01/2021,
alaska,AK,,,290,,0,,,,24785,2327,,5,1472,233,03/02/2021,vaccines as of 3/1
arizona,AZ,,,2688,2536,,,,43612,,12009,11802,,,,03/02/2021,"Arizona later revised their prisoner death numbers, classifying four suspected COVID-19 deaths as unrelated. They would not provide updated figures for past weeks, so we have left these blank. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
arkansas,AR,,,,,4,,,,,11106,10978,52,0,0,03/02/2021,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
california,CA,,,15810,15347,26,25626,,118784,,49115,48029,212,40905,,03/02/2021,The number of tests for this week included an extra digit and has been corrected here.
colorado,CO,,,1567,,0,2587,,18555,173938,8662,,29,659,,03/02/2021,
connecticut,CT,,47391,1548,1490,0,2460,,,68823,4117,3923,19,1938,,03/02/2021,
delaware,DE,,4180,640,620,1,1056,0,,11954,2012,1938,13,137,0,03/02/2021,
florida,FL,,,5557,5224,6,0,0,,,17892,17643,210,0,0,03/03/2021,The number of recovered prisoner cases initially reported for this week was off by 40 and has been revised.
georgia,GA,,,1653,1580,4,0,0,,,3609,3397,92,0,0,03/02/2021,
hawaii,HI,,,221,215,0,,,,15176,1929,1888,9,,,03/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
idaho,ID,5183,,455,452,0,,143,10670,,4093,3955,6,208,0,03/02/2021,
illinois,IL,,106432,4136,4044,1,,,,326538,10724,10528,87,,,03/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
indiana,IN,,5497,1490,1456,4,,,,17219,3436,3373,51,,,03/02/2021,Vaccine data is as of 2/25. Right now they are only vaccinating incarcerated folks who are 65+. Vaccination data includes three juvenile facilities that we normally remove from our case data.
iowa,IA,,,699,694,2,1208,1199,,41082,4786,4581,19,197,197,03/02/2021,
kansas,KS,,,1201,,5,,,,,6094,,15,2698,,03/01/2021,Vaccine numbers are as of 3/3.
kentucky,KY,,,990,950,5,,,,,7159,6833,44,,,03/02/2021,The number of recovered cases among prisoners dropped this week. We're inquiring as to why. They are vaccinating but haven't released numbers this week.
louisiana,LA,2436,,911,883,6,,,8248,,3169,3008,36,,,03/02/2021,
maine,ME,,,57,55,0,678,526,,7299,157,157,1,0,0,03/02/2021,
maryland,MD,,50358,2119,2026,4,,,,57927,4196,4050,24,,,03/01/2021,They are vaccinating but haven't released numbers this week.
massachusetts,MA,,,907,,,2921,2592,,29175,3012,,20,4513,4113,03/03/2021,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
michigan,MI,,152496,3637,,4,,,40804,543350,25277,23451,138,,,03/02/2021,"The number of recovered cases among prisoners dropped this week. We're inquiring as to why. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
minnesota,MN,,,1012,834,0,508,346,,98086,3898,3838,11,239,144,03/02/2021,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
mississippi,MS,,,,,,,,,3334,1393,1369,23,,,03/02/2021,
missouri,MO,,,2564,2548,6,,,,,5529,5454,45,3609,0,03/02/2021,
montana,MT,,,,,,0,0,,,,,,,,03/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
nebraska,NE,,,,,,,,3671,6742,971,963,6,,,03/05/2021,
nevada,NV,,,969,,3,,,,,4510,,57,,,03/02/2021,
new hampshire,NH,,,173,172,0,,,,1497,450,445,2,,,03/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
new jersey,NJ,,156818,2590,,,,,,,,,53,,,02/28/2021,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
new mexico,NM,,,934,903,0,1517,,,,2869,2580,28,574,,03/02/2021,
new york,NY,,,4731,,8,7439,0,,68237,5942,5618,33,822,0,03/02/2021,
north carolina,NC,,76950,3677,3407,12,,2501,39285,110227,9743,8043,47,,1049,03/02/2021,The number of recovered cases among prisoners dropped this week. A prisons spokesman said it's due to some recovered prisoners being released recently.
north dakota,ND,1139,19682,278,273,1,,,3139,27643,627,626,1,,,03/02/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
ohio,OH,,,4684,4597,10,1196,,,62052,9533,7172,134,1856,,03/04/2021,Recoveries dropped from last week. This may be because recovered prisoners were later released.
oklahoma,OK,,12506,1008,,,,,,28947,7179,,48,0,0,03/02/2021,
oregon,OR,,,830,813,,,,,24814,3542,3354,42,9156,1256,03/02/2021,Vaccination numbers are as of 3/4
pennsylvania,PA,,,,,,,,,,10598,,125,,,03/02/2021,
rhode island,RI,,,399,391,1,,,,,1155,1140,2,,,03/04/2021,"Subtracting 4 presumed positives among prisoners and 13 presumed positives from staff. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
south carolina,SC,,,1050,1003,2,,,9678,,3161,2991,37,163,0,03/02/2021,
south dakota,SD,,409,186,186,0,,,,7377,,2332,7,,,03/02/2021,South Dakota's number of prisoner cases was later revised down by 1.
tennessee,TN,,,1479,1450,4,,,,38820,6597,6538,42,0,0,03/04/2021,
texas,TX,,169334,11170,10503,41,7331,4892,,416798,34078,32089,270,628,0,03/02/2021,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
utah,UT,,,396,343,,,,,24260,3399,3174,15,,,03/01/2021,
vermont,VT,,,77,,,,,2781,16415,402,,0,,,03/03/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
virginia,VA,,18270,2442,2396,5,5630,3066,,93502,8988,8828,55,14481,6850,03/02/2021,
washington,WA,,,1124,,2,,,,,6176,6104,13,,,03/02/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
west virginia,WV,,10662,456,450,1,790,711,,9668,1553,1535,8,0,0,03/02/2021,
wisconsin,WI,,,2486,2474,,,,,92225,10859,10637,25,,,03/02/2021,They are vaccinating but haven't released numbers this week.
wyoming,WY,,,289,274,0,,,,24650,789,755,3,,,03/02/2021,
federal,US,,,6511,4891,4,,13228,105951,,49324,48037,242,,10278,03/02/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
alabama,AL,,,1013,937,3,0,0,,15115,1506,1432,61,0,0,02/22/2021,
alaska,AK,,,,,,,,,23836,2316,,5,625,92,02/22/2021,
arizona,AZ,,,2664,2491,,,,,,11932,9333,,,,02/23/2021,"Arizona later revised their prisoner death numbers, classifying five suspected COVID-19 deaths as unrelated. They would not provide updated figures for past weeks, so we have left these blank. . They are vaccinating but not giving breakdowns."
arkansas,AR,,,,,4,1042,851,,,11033,10955,52,0,0,02/23/2021,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
california,CA,,,15713,15259,26,24959,,118352,,49036,47360,210,37588,,02/23/2021,
colorado,CO,,,1550,,0,2444,,18436,168378,8626,,29,641,,02/23/2021,
connecticut,CT,,41326,1537,1465,0,2392,,,63305,3932,3812,19,978,,02/23/2021,
delaware,DE,,,,,1,,0,,,,,13,100,0,02/23/2021,
florida,FL,,,5501,5131,6,0,0,,,17876,17607,208,0,0,02/24/2021,
georgia,GA,,,1630,1548,4,0,0,,,3546,3301,89,0,0,02/23/2021,
hawaii,HI,,,221,215,,,,,14989,1905,1867,9,,,02/23/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
idaho,ID,5178,,454,449,0,155,0,10645,,4085,3936,6,0,0,02/23/2021,"Of the 454 staff positives, 8 were prior positives / Of the vaccinated staff, 155 were vaccinated by the department, 69 self-reported being vaccinated by outside providers."
illinois,IL,,100189,4092,4012,1,530,,,313099,10651,10473,87,1800,,02/23/2021,They are working on disambiguating first and second vaccine doses. right now it's not available
indiana,IN,,5474,1486,1453,4,,,,16889,3435,3363,51,,,02/23/2021,
iowa,IA,,,698,692,2,1208,1199,,40410,4605,4531,19,197,197,02/23/2021,
kansas,KS,,,1195,,5,,,,,6085,,14,658,,02/22/2021,vaccines are as of 2/24
kentucky,KY,,,961,934,5,,,,,6943,6859,44,,,02/23/2021,not reporting vaccines till after the 3rd
louisiana,LA,2430,,901,862,6,,,8110,,3106,2793,36,,,02/23/2021,
maine,ME,,,57,55,0,678,348,,7202,157,157,1,0,0,02/23/2021,
maryland,MD,,48377,2094,2011,4,,,,55870,4128,4015,22,,,02/22/2021,
massachusetts,MA,,,905,,,2914,2121,,29128,3005,,20,4476,3645,02/25/2021,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
michigan,MI,,141445,3609,,4,,,40716,525217,25190,23508,138,,,02/23/2021,"""Vaccines are not mandatory and staff largely get them on their own in the community and do not need to inform us if they have gotten the vaccine."" Spokesman said more than 4000 doses have been given in Michigan but he's checking for details."
minnesota,MN,,,1003,828,0,487,295,,96205,3885,3834,11,238,137,02/23/2021,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
mississippi,MS,,,,,,,,,3331,,1368,23,,,02/24/2021,
missouri,MO,,12874,2562,2540,6,,,,74382,5517,5422,45,0,0,02/23/2021,"Staff are being vaccinated but they didn't release exact figures. The numbers from one prison were initially reported with 300 additional cases that were later removed, likely due to a typo. This has been updated with the revised figure."
montana,MT,,,277,,0,0,0,,,1129,,6,110,0,02/22/2021,
nebraska,NE,,,538,516,,,,3668,6701,967,939,6,,,02/22/2021,
nevada,NV,,,,,3,,,,,4497,,57,,,02/23/2021,
new hampshire,NH,,,173,172,0,,,,1475,447,445,2,,,02/24/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
new jersey,NJ,,151589,2553,,,,,,220573,4567,,53,,,02/21/2021,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
new mexico,NM,,,922,876,0,1517,,,36502,2661,2519,28,574,,02/23/2021,The number of staff cases was input incorrectly and has been updated.
new york,NY,,,4656,4436,8,,,,66726,5815,5485,33,,,02/23/2021,They are vaccinating but not breaking down numbers for prisoners or staff yet.
north carolina,NC,,70763,3652,3372,10,5196,1270,38917,106206,9512,8047,47,2638,172,02/23/2021,
north dakota,ND,1128,18980,275,267,1,,,3115,26184,623,621,1,,,02/23/2021,"We have been told vaccinations of staff have begun in this system, but they have not released numbers for this week."
ohio,OH,,,4638,4538,10,1155,,,60634,9485,7200,134,1358,,02/25/2021,
oklahoma,OK,,12061,1001,,,,,,28518,7114,,48,0,0,02/23/2021,
oregon,OR,,,827,807,0,,,,24177,3527,3316,42,,,02/23/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
pennsylvania,PA,,,,,,,,,,10118,,122,,,02/23/2021,"Pennsylvania took down its dashboard for several months to revise its data. In April of 2021, Pennsylvania revised its historic daily counts of COVID cases and deaths of prisoners. We've adjusted our number here to reflect the change. The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,395,389,1,,,,,1150,1129,2,1352,412,02/25/2021,Subtracting 4 presumed positives among prisoners and 13 presumed positives.
south carolina,SC,,,1036,961,2,,,,,3082,2947,37,0,0,02/24/2021,
south dakota,SD,,409,186,186,0,,,,7265,2337,2330,7,,,02/23/2021,
tennessee,TN,,9202,1475,1447,4,1436,,,38212,6580,6519,42,0,0,02/24/2021,
texas,TX,,163843,11070,10159,41,,,,407607,33980,31221,268,0,0,02/23/2021,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
utah,UT,,,396,343,,,,,23592,3306,3098,15,,,02/22/2021,
vermont,VT,,,66,,,,,2751,15445,275,,0,,,02/23/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
virginia,VA,,,2422,2347,5,5385,2192,,91689,8987,,55,13585,3449,02/23/2021,
washington,WA,,,1106,,2,,,,,6157,6077,13,,,02/23/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
west virginia,WV,,10213,453,448,1,725,551,,9640,1553,1535,8,0,0,02/23/2021,
wisconsin,WI,,,2478,2462,,,,,90565,10839,10597,25,,,02/23/2021,
wyoming,WY,,,275,262,0,,,,23749,770,722,3,,,02/23/2021,
federal,US,,,6452,4766,4,,11352,104713,,49144,47358,239,,8971,02/23/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting. 
alabama,AL,,,1005,847,3,0,0,,15075,1499,1355,60,0,0,02/15/2021,
alaska,AK,,,,,,,,,,,,,,,02/16/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
arizona,AZ,,,2635,2448,,,,43621,,11860,9146,,,,02/16/2021,"Arizona later revised their prisoner death numbers, classifying five suspected COVID-19 deaths as unrelated. They would not provide updated figures for past weeks, so we have left these blank."
arkansas,AR,,,,,4,1042,851,,,11032,10901,52,0,0,02/16/2021,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
california,CA,,,15513,15030,25,24645,,117763,,48837,46723,208,33445,,02/16/2021,
colorado,CO,,,1529,,0,2403,,18332,163837,8549,,28,553,,02/16/2021,
connecticut,CT,,41326,1502,1412,0,,,,59338,3932,3812,19,,,02/16/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
delaware,DE,,,,,1,,0,,,,,,,0,02/16/2021,
florida,FL,,,5439,5049,6,0,0,,,17864,17571,205,0,0,02/17/2021,
georgia,GA,,,1607,1513,4,0,0,,,3469,3223,88,0,0,02/16/2021,
hawaii,HI,,,221,212,0,,,,14656,1894,1864,8,,,02/16/2021,Hawaii is vaccinating staff and prisoners but are not providing totals yet.
idaho,ID,5172,,451,446,0,155,0,10489,,4071,3897,6,0,0,02/16/2021,
illinois,IL,,88565,4063,3947,1,530,0,,277986,10532,10342,87,0,0,02/16/2021,
indiana,IN,,5448,1478,1426,4,,,,16437,3424,3323,50,,,02/16/2021,
iowa,IA,,,694,685,2,1208,1108,,39984,4560,4459,18,197,123,02/17/2021,
kansas,KS,,,1181,,5,,,,,6027,,14,638,0,02/15/2021,
kentucky,KY,,,953,927,5,,,,,6907,6834,44,,,02/16/2021,
louisiana,LA,2420,,895,843,6,,,8072,,3100,2754,35,,,02/16/2021,
maine,ME,,,55,53,0,678,,,,157,157,1,0,0,02/16/2021,
maryland,MD,,47931,2073,1902,4,,,,53480,4067,3960,22,,,02/15/2021,"Maryland changed from counting individuals tested to tests administered, and this has been updated accordingly."
massachusetts,MA,,,899,,,2882,1303,,27796,2992,,20,4330,830,02/17/2021,"In early May 2021, Massachusetts’s Department of Correction revised its number of total prisoner cases after an audit of its records. This resulted in a drop of 450 cases from the previously reported total. In our online tracker, we have gone back to the past weeks of data and estimated the prisoner case breakdown based on this revision. Here in our raw data, we retain the originally reported case totals."
michigan,MI,,134280,3567,,4,,,40603,509647,25039,22538,138,,,02/16/2021,
minnesota,MN,,,1000,820,0,444,110,,94886,3883,3810,11,238,110,02/16/2021,"Subtracted 38 presumed positives from inmate recovery numbers, which we have to do each week. Staff returned to work numbers are fine as is. These 38 are from some time in April - since they switched to a new testing method, they don't have new presumed positives that will be added to this column."
mississippi,MS,,,,,,,,,,,,23,0,0,02/18/2021,
missouri,MO,,,,,6,,,,,5494,5400,42,0,0,02/17/2021,Missouri's total cases omitted deaths and has been updated.
montana,MT,,,276,,0,0,0,,,1129,,6,110,0,02/17/2021,
nebraska,NE,,,,,,,,,,,,,,,,
nevada,NV,,,969,,3,,,,,4496,,57,,,02/16/2021,"Nevada later revised their staff deaths down by 1. They also later adjusted their staff and prisoner cases down, saying they had been inadvertantly counting negatives as positives. They did not provide updated historic case numbers, so we are leaving those blank for this week."
new hampshire,NH,,,172,171,,,,,1446,447,442,2,,,02/16/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
new jersey,NJ,,146621,2516,,,,,,,,,53,,,02/14/2021,"In May 2021, New Jersey's Department of Corrections revised much of its historic data for tests and cases among prisoners and staff. These figures revealed many new cases but also exclude prisoner cases in residential community release programs that were reported prior to August of 2020, including one death. We have retained the one death in a reentry center, but otherwise are now reporting only data for prisons. We have updated this week accordingly. We have been told vaccinations have begun in this system this week, but they have not released numbers."
new mexico,NM,,,915,870,0,1517,,,33486,2581,2468,28,574,,02/16/2021,
new york,NY,,,4540,,7,,,,64546,5686,5142,32,,,02/16/2021,
north carolina,NC,,66362,3612,3238,9,4753,0,38675,103314,9455,7874,46,2559,0,02/16/2021,
north dakota,ND,1122,18091,273,264,1,22,22,3010,24519,622,619,1,0,0,02/16/2021,
ohio,OH,,,4604,4480,10,1117,,,59303,9433,7111,134,1261,,02/18/2021,Recoveries dropped from last week. Ohio spokeswoman said it may be because recovered prisoners were later released.
oklahoma,OK,,11381,989,,,,,,28238,7092,,47,0,0,02/16/2021,
oregon,OR,,,824,790,0,,,,24094,3516,3285,42,,,02/17/2021,"They are vacinating but not releasing information for staff and for prisoners they're only putting out doses, not people."
pennsylvania,PA,,,,,,,,,,10027,,115,,,02/16/2021,"Pennsylvania took down its dashboard for several months to revise its data. In April of 2021, Pennsylvania revised its historic daily counts of COVID cases and deaths of prisoners. We've adjusted our number here to reflect the change. The state is no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount."
rhode island,RI,,,390,383,1,,,,,1132,1120,2,,,02/15/2021,"Subtracting 4 presumed positives among prisoners and 13 presumed positives. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
south carolina,SC,,,993,916,2,,,9369,,3049,2839,37,0,0,02/16/2021,
south dakota,SD,,408,186,186,0,,,,7145,2337,2330,7,,,02/16/2021,
tennessee,TN,,9195,1470,1438,4,1436,0,,38108,6575,6507,41,0,0,02/17/2021,
texas,TX,,162026,10980,9955,40,,,,405446,33882,31008,267,0,0,02/17/2021,We have revised this week's prisoner deaths totals based on data from the Texas Justice Initiative.
utah,UT,,,379,322,,,,,22665,3261,3059,15,,,02/15/2021,
vermont,VT,,,64,,,,,2717,14370,265,249,0,,,02/16/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
virginia,VA,,,2398,2288,4,,1089,,90063,8977,8330,54,13449,1192,02/16/2021,
washington,WA,,,1089,,2,,,,,6116,5892,13,,,02/16/2021,"In late-June, Washington revised their total number of deaths, removing one case after reviewing updated an updated death certificate. We have adjusted this week's total accordingly. We have been told vaccinations have begun in this system, but they have not released numbers for this week."
west virginia,WV,,9787,449,446,1,723,542,,9625,1553,1530,8,0,0,02/16/2021,
wisconsin,WI,,,2468,2437,,,,,89238,10831,10593,25,,,02/16/2021,
wyoming,WY,,,263,255,0,,,,22365,742,705,3,,,02/16/2021,
federal,US,,,6339,4652,4,,9710,103211,,48519,46603,239,,7552,02/16/2021,The total number of prisoner deaths has been updated after a review of private facilities that were removed from the BOP's reporting.
alabama,AL,,,1001,843,3,0,0,,14890,1485,1274,60,0,0,02/08/2021,
alaska,AK,,,,,,,,,22222,2302,,5,,,02/09/2021,"We have been told vaccinations have begun in this system, but they have not released numbers for this week."
arizona,AZ,,,2592,2355,,,,43587,,11611,8216,50,,,02/09/2021,
arkansas,AR,,,,,4,,,,,10992,10844,52,0,0,02/09/2021,The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count.
california,CA,,,15498,14726,25,23759,,117133,,48375,45981,206,25659,,02/09/2021,
